merge_key,style,blip_itm_score
dataset/kireime-casual/kireime-casual_533.jpg,kireime-casual,0.9978963
dataset/fairy/fairy_403.jpg,fairy,0.99531615
dataset/fairy/fairy_27.jpg,fairy,0.8598973
dataset/dressy/dressy_714.jpg,dressy,0.99912876
dataset/kireime-casual/kireime-casual_652.jpg,kireime-casual,0.9949308
dataset/conservative/conservative_247.jpg,conservative,0.99948007
dataset/natural/natural_266.jpg,natural,0.95226014
dataset/feminine/feminine_470.jpg,feminine,0.99782324
dataset/lolita/lolita_313.jpg,lolita,0.24926214
dataset/lolita/lolita_172.jpg,lolita,0.9967873
dataset/ethnic/ethnic_861.jpg,ethnic,0.412202
dataset/girlish/girlish_1053.jpg,girlish,0.99987733
dataset/ethnic/ethnic_789.jpg,ethnic,0.682251
dataset/mode/mode_600.jpg,mode,0.7077178
dataset/fairy/fairy_482.png,fairy,0.97943616
dataset/retro/retro_607.jpg,retro,0.99959296
dataset/retro/retro_642.jpg,retro,0.99755716
dataset/retro/retro_622.jpg,retro,0.9991817
dataset/retro/retro_264.jpg,retro,0.9816457
dataset/gal/gal_327.jpg,gal,0.87928516
dataset/retro/retro_400.jpg,retro,0.9996846
dataset/retro/retro_711.jpg,retro,0.9206165
dataset/conservative/conservative_825.jpg,conservative,0.99881685
dataset/dressy/dressy_134.jpg,dressy,0.94517916
dataset/conservative/conservative_45.jpg,conservative,0.98185676
dataset/dressy/dressy_278.jpg,dressy,0.75266844
dataset/mode/mode_1024.jpg,mode,0.99245787
dataset/feminine/feminine_814.jpg,feminine,0.997203
dataset/feminine/feminine_473.jpg,feminine,0.9989097
dataset/street/street_241.jpg,street,0.99990904
dataset/kireime-casual/kireime-casual_804.jpg,kireime-casual,0.99975246
dataset/lolita/lolita_966.jpg,lolita,0.9974376
dataset/ethnic/ethnic_401.jpg,ethnic,0.99871695
dataset/conservative/conservative_545.jpg,conservative,0.80273145
dataset/fairy/fairy_522.jpg,fairy,0.95576394
dataset/gal/gal_920.jpg,gal,0.9881607
dataset/gal/gal_439.jpg,gal,0.9788325
dataset/conservative/conservative_730.jpg,conservative,0.99768174
dataset/girlish/girlish_768.jpg,girlish,0.99712557
dataset/street/street_754.jpg,street,0.9997588
dataset/retro/retro_818.jpg,retro,0.99712163
dataset/lolita/lolita_941.jpg,lolita,0.9997298
dataset/gal/gal_667.jpg,gal,0.9980052
dataset/kireime-casual/kireime-casual_991.jpg,kireime-casual,0.99656856
dataset/conservative/conservative_133.jpg,conservative,0.98067266
dataset/ethnic/ethnic_7.jpg,ethnic,0.99963534
dataset/natural/natural_852.jpg,natural,0.9869637
dataset/conservative/conservative_744.png,conservative,0.99977535
dataset/retro/retro_666.jpg,retro,0.9984535
dataset/conservative/conservative_87.jpg,conservative,0.98504966
dataset/girlish/girlish_245.jpg,girlish,0.99488044
dataset/ethnic/ethnic_359.jpg,ethnic,0.92735523
dataset/gal/gal_59.jpg,gal,0.6941366
dataset/dressy/dressy_813.jpg,dressy,0.96607476
dataset/natural/natural_75.jpg,natural,0.99457353
dataset/gal/gal_182.jpg,gal,0.9992255
dataset/dressy/dressy_667.jpg,dressy,0.8937715
dataset/girlish/girlish_882.jpg,girlish,0.855393
dataset/kireime-casual/kireime-casual_733.jpg,kireime-casual,0.9716053
dataset/feminine/feminine_526.jpg,feminine,0.92560744
dataset/conservative/conservative_549.jpg,conservative,0.9997527
dataset/natural/natural_67.jpg,natural,0.9997842
dataset/rock/rock_567.jpg,rock,0.995548
dataset/street/street_389.jpg,street,0.97232413
dataset/gal/gal_717.jpg,gal,0.93875146
dataset/conservative/conservative_150.jpg,conservative,0.997156
dataset/feminine/feminine_689.jpg,feminine,0.94208115
dataset/girlish/girlish_270.jpg,girlish,0.9444108
dataset/gal/gal_374.jpg,gal,0.98925626
dataset/ethnic/ethnic_529.jpg,ethnic,0.9998374
dataset/feminine/feminine_800.jpg,feminine,0.9996611
dataset/street/street_859.jpeg,street,0.9980426
dataset/gal/gal_118.jpg,gal,0.916036
dataset/natural/natural_602.jpeg,natural,0.9452134
dataset/street/street_652.jpg,street,0.99968994
dataset/lolita/lolita_100.jpg,lolita,0.9898609
dataset/feminine/feminine_657.jpg,feminine,0.8852459
dataset/feminine/feminine_279.jpg,feminine,0.99881446
dataset/gal/gal_591.jpg,gal,0.98202604
dataset/kireime-casual/kireime-casual_711.jpg,kireime-casual,0.9523845
dataset/mode/mode_853.jpg,mode,0.99584335
dataset/mode/mode_696.jpg,mode,0.9234303
dataset/street/street_671.jpg,street,0.9935808
dataset/rock/rock_91.jpg,rock,0.9970521
dataset/ethnic/ethnic_640.jpg,ethnic,0.93184555
dataset/rock/rock_283.jpg,rock,0.9580736
dataset/natural/natural_477.jpg,natural,0.99813396
dataset/mode/mode_875.jpg,mode,0.98775136
dataset/kireime-casual/kireime-casual_567.jpg,kireime-casual,0.99663854
dataset/lolita/lolita_102.jpg,lolita,0.9992736
dataset/mode/mode_3.jpg,mode,0.86877424
dataset/lolita/lolita_222.jpg,lolita,0.91618997
dataset/street/street_38.jpg,street,0.9979766
dataset/mode/mode_1026.jpg,mode,0.90179014
dataset/fairy/fairy_516.jpg,fairy,0.9996126
dataset/mode/mode_647.jpg,mode,0.98622966
dataset/rock/rock_510.jpg,rock,0.99968016
dataset/kireime-casual/kireime-casual_517.jpg,kireime-casual,0.98641497
dataset/natural/natural_578.jpg,natural,0.93691146
dataset/natural/natural_326.jpg,natural,0.9999255
dataset/rock/rock_789.jpg,rock,0.9994727
dataset/lolita/lolita_466.jpg,lolita,0.9967871
dataset/dressy/dressy_617.jpg,dressy,0.96312755
dataset/ethnic/ethnic_81.jpg,ethnic,0.6374869
dataset/fairy/fairy_538.jpg,fairy,0.99924845
dataset/street/street_876.jpg,street,0.9994326
dataset/kireime-casual/kireime-casual_545.jpg,kireime-casual,0.9992781
dataset/natural/natural_490.jpeg,natural,0.99871016
dataset/gal/gal_490.jpg,gal,0.9998568
dataset/street/street_995.jpg,street,0.9994648
dataset/ethnic/ethnic_544.jpg,ethnic,0.9944722
dataset/conservative/conservative_308.jpg,conservative,0.11488976
dataset/gal/gal_604.jpg,gal,0.9851291
dataset/fairy/fairy_491.jpg,fairy,0.9917604
dataset/girlish/girlish_514.jpg,girlish,0.9998229
dataset/girlish/girlish_1004.jpg,girlish,0.9929053
dataset/lolita/lolita_745.jpg,lolita,0.9733323
dataset/girlish/girlish_1066.jpg,girlish,0.44074467
dataset/kireime-casual/kireime-casual_181.jpg,kireime-casual,0.9940753
dataset/lolita/lolita_546.jpg,lolita,0.9991441
dataset/feminine/feminine_791.jpg,feminine,0.561232
dataset/kireime-casual/kireime-casual_431.jpg,kireime-casual,0.99934953
dataset/ethnic/ethnic_237.jpg,ethnic,0.93061423
dataset/lolita/lolita_799.jpg,lolita,0.997661
dataset/dressy/dressy_340.jpg,dressy,0.998691
dataset/gal/gal_831.jpg,gal,0.99222565
dataset/mode/mode_152.jpg,mode,0.98893124
dataset/gal/gal_58.jpg,gal,0.26516327
dataset/mode/mode_433.jpg,mode,0.9990024
dataset/street/street_758.jpg,street,0.5721812
dataset/natural/natural_61.jpeg,natural,0.9982425
dataset/feminine/feminine_751.jpg,feminine,0.9943786
dataset/kireime-casual/kireime-casual_861.jpg,kireime-casual,0.99806315
dataset/gal/gal_817.jpg,gal,0.99840325
dataset/street/street_707.jpg,street,0.99771833
dataset/feminine/feminine_697.jpg,feminine,0.20457044
dataset/girlish/girlish_970.jpg,girlish,0.9450746
dataset/street/street_980.jpg,street,0.9996793
dataset/natural/natural_244.jpg,natural,0.9815352
dataset/ethnic/ethnic_758.png,ethnic,0.23567066
dataset/fairy/fairy_71.jpg,fairy,0.9902293
dataset/retro/retro_602.jpg,retro,0.9939089
dataset/gal/gal_18.jpg,gal,0.9423632
dataset/conservative/conservative_613.jpg,conservative,0.9995635
dataset/fairy/fairy_601.jpg,fairy,0.99549687
dataset/girlish/girlish_701.jpg,girlish,0.9956118
dataset/dressy/dressy_330.jpg,dressy,0.8712685
dataset/kireime-casual/kireime-casual_653.jpg,kireime-casual,0.97100157
dataset/lolita/lolita_157.jpg,lolita,0.99968255
dataset/ethnic/ethnic_322.jpg,ethnic,0.99585575
dataset/conservative/conservative_63.jpg,conservative,0.99448967
dataset/lolita/lolita_237.jpg,lolita,0.9916278
dataset/ethnic/ethnic_383.jpg,ethnic,0.3242224
dataset/girlish/girlish_923.jpg,girlish,0.97565395
dataset/conservative/conservative_122.jpg,conservative,0.9940221
dataset/mode/mode_710.jpg,mode,0.9495752
dataset/girlish/girlish_999.jpg,girlish,0.9938099
dataset/natural/natural_507.jpg,natural,0.9988422
dataset/natural/natural_250.jpg,natural,0.9988864
dataset/retro/retro_800.jpg,retro,0.9988896
dataset/mode/mode_630.jpg,mode,0.97770506
dataset/street/street_54.jpg,street,0.8317433
dataset/dressy/dressy_179.jpg,dressy,0.44386137
dataset/natural/natural_524.jpg,natural,0.99480313
dataset/retro/retro_328.jpg,retro,0.99898213
dataset/fairy/fairy_445.jpg,fairy,0.0571277
dataset/gal/gal_523.jpg,gal,0.83711064
dataset/rock/rock_359.jpg,rock,0.87135965
dataset/lolita/lolita_567.jpg,lolita,0.99840826
dataset/lolita/lolita_278.jpg,lolita,0.73303306
dataset/lolita/lolita_874.jpg,lolita,0.98907614
dataset/rock/rock_648.jpg,rock,0.9957075
dataset/lolita/lolita_154.jpg,lolita,0.99795854
dataset/kireime-casual/kireime-casual_298.jpg,kireime-casual,0.99911934
dataset/conservative/conservative_109.jpg,conservative,0.979981
dataset/feminine/feminine_206.jpg,feminine,0.99916935
